File Creation Date,2025-10-27
Sampling Location,1.5km offshore north of the 1F site (T-A1)

Sea surface to a depth of 0.5 m,,,,,,
,Cs-134,,Cs-137,,H-3,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND
2025/10/20 7:23,,0.27,,0.31,-,-
2025/10/13 7:35,,0.37,,0.34,-,-
2025/10/6 7:10,,0.21,,0.35,-,-
2025/9/29 8:16,,0.33,,0.38,0.50,
2025/9/22 6:58,,0.28,,0.31,,0.37
2025/9/15 6:57,,0.31,,0.25,0.43,
2025/9/8 7:02,,0.32,,0.37,0.10,
2025/9/1 7:04,,0.31,,0.26,,0.39
2025/8/25 6:50,,0.28,,0.28,,0.37
2025/8/18 7:01,,0.24,,0.27,,0.37
2025/8/11 6:55,,0.34,,0.35,2.7,
2025/8/4 8:28,,0.36,,0.33,,0.38
2025/7/28 7:22,,0.34,,0.26,1.8,
2025/7/21 7:29,,0.34,,0.33,,0.37
2025/7/17 8:46,,0.28,,0.28,0.12,
2025/7/7 7:24,,0.35,,0.37,,0.38
2025/6/30 7:22,,0.22,,0.25,,0.35
2025/6/23 7:28,,0.26,,0.29,,0.37
2025/6/16 7:22,,0.30,,0.33,,0.35
2025/6/9 7:12,,0.40,,0.35,0.16,
2025/6/2 7:20,,0.40,,0.32,,0.36
2025/5/26 7:12,,0.33,,0.32,,0.36
2025/5/19 7:30,,0.25,,0.28,,0.35
2025/5/12 7:20,,0.32,,0.30,0.096,
2025/5/5 6:56,,0.29,,0.28,,0.39
2025/4/28 7:14,,0.32,,0.29,0.52,
2025/4/21 7:32,,0.37,,0.33,,0.38
2025/4/16 7:53,,0.37,,0.27,0.70,
2025/4/10 14:33,-,-,-,-,0.38,
2025/4/7 7:58,,0.26,,0.30,,0.35
2025/3/31 7:18,,0.38,,0.31,,0.36
2025/3/25 7:53,,0.29,,0.29,1.4,
2025/3/18 7:39,,0.31,,0.38,,0.35
2025/3/14 7:16,-,-,-,-,,0.37
2025/3/10 7:17,,0.27,,0.30,,0.076
2025/3/3 7:29,,0.34,,0.35,,0.37
2025/2/24 7:05,,0.28,,0.33,,0.37
2025/2/17 7:20,,0.30,,0.29,,0.37
2025/2/10 7:32,,0.24,,0.32,0.098,
2025/2/3 7:14,,0.36,,0.30,,0.36
2025/1/29 7:26,,0.27,,0.28,0.42,
