begperiod,station,org,depth,Cs-134,Cs-134_nd,Cs-137,Cs-137_nd,H-3,H-3_nd,lon,lat
2022-06-23 00:00,E-S10,MOE,Surface,,,,,0.11,,141.0506,37.42924
2022-06-23 00:00,E-S10,MOE,Bottom,,,,,0.085,,141.0506,37.42924
2022-08-24 00:00,E-S10,MOE,Surface,,,,,0.087,,141.0506,37.42924
2022-08-24 00:00,E-S10,MOE,Bottom,,,,,0.066,,141.0506,37.42924
2022-10-28 00:00,E-S10,MOE,Surface,,,,,0.12,,141.0506,37.42924
2022-10-28 00:00,E-S10,MOE,Bottom,,,,,0.11,,141.0506,37.42924
2023-01-17 00:00,E-S10,MOE,Surface,,,,,0.066,,141.0506,37.42924
2023-01-17 00:00,E-S10,MOE,Bottom,,,,,0.1,,141.0506,37.42924
2023-05-30 00:00,E-S10,MOE,Surface,,,,,0.087,,141.0506,37.42924
2023-05-30 00:00,E-S10,MOE,Bottom,,,,,0.079,,141.0506,37.42924
2023-08-25 00:00,E-S10,MOE,Surface,,,,,0.71,,141.0506,37.42924
2023-08-25 00:00,E-S10,MOE,Bottom,,,,,0.11,,141.0506,37.42924
2023-10-13 00:00,E-S10,MOE,Surface,,,,,0.22,,141.0506,37.42924
2023-10-13 00:00,E-S10,MOE,Bottom,,,,,0.19,,141.0506,37.42924
2023-11-01 00:00,E-S10,MOE,Surface,,,,,0.13,,141.0506,37.42924
2023-11-01 00:00,E-S10,MOE,Bottom,,,,,0.13,,141.0506,37.42924
2023-11-14 00:00,E-S10,MOE,Surface,,,,,0.22,,141.0506,37.42924
2023-11-14 00:00,E-S10,MOE,Bottom,,,,,0.23,,141.0506,37.42924
2023-12-15 00:00,E-S10,MOE,Surface,,,,,0.095,,141.0506,37.42924
2023-12-15 00:00,E-S10,MOE,Bottom,,,,,0.094,,141.0506,37.42924
2024-01-18 00:00,E-S10,MOE,Surface,,,,,0.082,,141.0506,37.42924
2024-01-18 00:00,E-S10,MOE,Bottom,,,,,0.075,,141.0506,37.42924
2024-01-31 00:00,E-S10,MOE,Surface,,,,,,0.05,141.0506,37.42924
2024-01-31 00:00,E-S10,MOE,Bottom,,,,,0.56,,141.0506,37.42924
2024-03-04 00:00,E-S10,MOE,Surface,,,,,0.47,,141.0506,37.42924
2024-03-04 00:00,E-S10,MOE,Bottom,,,,,0.6,,141.0506,37.42924
2022-06-23 00:00,E-S11,MOE,Surface,,,,,0.13,,141.041528,37.425722
2022-06-23 00:00,E-S11,MOE,Bottom,,,,,0.12,,141.041528,37.425722
2022-08-24 00:00,E-S11,MOE,Surface,,,,,0.14,,141.041528,37.425722
2022-08-24 00:00,E-S11,MOE,Bottom,,,,,0.083,,141.041528,37.425722
2022-10-28 00:00,E-S11,MOE,Surface,,,,,0.09,,141.041528,37.425722
2022-10-28 00:00,E-S11,MOE,Bottom,,,,,0.096,,141.041528,37.425722
2023-01-17 00:00,E-S11,MOE,Surface,,,,,0.056,,141.041528,37.425722
2023-01-17 00:00,E-S11,MOE,Bottom,,,,,,0.04,141.041528,37.425722
2022-06-23 00:00,E-S12,MOE,Surface,,,,,0.13,,141.050583,37.425639
2022-06-23 00:00,E-S12,MOE,Bottom,,,,,0.11,,141.050583,37.425639
2022-08-24 00:00,E-S12,MOE,Surface,,,,,0.083,,141.050583,37.425639
2022-08-24 00:00,E-S12,MOE,Bottom,,,,,0.081,,141.050583,37.425639
2022-10-28 00:00,E-S12,MOE,Surface,,,,,0.15,,141.050583,37.425639
2022-10-28 00:00,E-S12,MOE,Bottom,,,,,0.11,,141.050583,37.425639
2023-01-17 00:00,E-S12,MOE,Surface,,,,,,0.04,141.050583,37.425639
2023-01-17 00:00,E-S12,MOE,Bottom,,,,,0.049,,141.050583,37.425639
2022-06-23 00:00,E-S13,MOE,Surface,,,,,0.14,,141.0461,37.42568
2022-06-23 00:00,E-S13,MOE,Bottom,,,,,0.098,,141.0461,37.42568
2022-08-24 00:00,E-S13,MOE,Surface,,,,,0.076,,141.0461,37.42568
2022-08-24 00:00,E-S13,MOE,Bottom,,,,,0.069,,141.0461,37.42568
2022-10-28 00:00,E-S13,MOE,Surface,,,,,0.093,,141.0461,37.42568
