id,org,station,lat,lon,begperiod,Sample,Radionuclide,Dt,Dt_unc,ND,Unit
256,MOE,,37.4391833333,141.0436638889,2024/11/06,Olive flounder,H-3:TFWT,0.56,,,Bq/L
256,MOE,,37.4391833333,141.0436638889,2024/11/06,Angelfish,H-3:TFWT,0.38,,,Bq/L
256,MOE,,37.4391833333,141.0436638889,2024/11/06,Dusky shark,H-3:TFWT,0.45,,,Bq/L
256,MOE,,37.4391833333,141.0436638889,2024/11/06,Olive flounder,H-3:TFWT,0.44,,,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2024/11/06,Angelfish,H-3:TFWT,0.29,,,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2024/11/06,Dusky shark,H-3:TFWT,0.35,,,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2024/11/06,Olive flounder,H-3:OBT,,,0.4,Bq/L
256,MOE,,37.4391833333,141.0436638889,2024/11/06,Angelfish,H-3:OBT,,,0.3,Bq/L
256,MOE,,37.4391833333,141.0436638889,2024/11/06,Dusky shark,H-3:OBT,,,0.3,Bq/L
256,MOE,,37.4391833333,141.0436638889,2024/11/06,Olive flounder,H-3:OBT,,,0.05,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2024/11/06,Angelfish,H-3:OBT,,,0.05,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2024/11/06,Dusky shark,H-3:OBT,,,0.05,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2024/09/10,Mixed fish sample,H-3:TFWT,0.075,,,Bq/L
256,MOE,,37.4391833333,141.0436638889,2024/09/10,Angelfish,H-3:TFWT,0.081,,,Bq/L
256,MOE,,37.4391833333,141.0436638889,2024/09/10,Flathead,H-3:TFWT,0.069,,,Bq/L
256,MOE,,37.4391833333,141.0436638889,2024/09/10,Mixed fish sample,H-3:TFWT,0.06,,,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2024/09/10,Angelfish,H-3:TFWT,0.062,,,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2024/09/10,Flathead,H-3:TFWT,0.054,,,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2024/09/10,Mixed fish sample,H-3:OBT,,,0.3,Bq/L
256,MOE,,37.4391833333,141.0436638889,2024/09/10,Angelfish,H-3:OBT,,,0.4,Bq/L
256,MOE,,37.4391833333,141.0436638889,2024/09/10,Flathead,H-3:OBT,,,0.3,Bq/L
256,MOE,,37.4391833333,141.0436638889,2024/09/10,Mixed fish sample,H-3:OBT,,,0.04,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2024/09/10,Angelfish,H-3:OBT,,,0.05,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2024/09/10,Flathead,H-3:OBT,,,0.04,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2024/07/09,Olive flounder,H-3:TFWT,0.54,,,Bq/L
256,MOE,,37.4391833333,141.0436638889,2024/07/09,Mixed fish sample,H-3:TFWT,0.66,,,Bq/L
256,MOE,,37.4391833333,141.0436638889,2024/07/09,Angelfish,H-3:TFWT,0.65,,,Bq/L
256,MOE,,37.4391833333,141.0436638889,2024/07/09,Olive flounder,H-3:TFWT,0.43,,,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2024/07/09,Mixed fish sample,H-3:TFWT,0.51,,,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2024/07/09,Angelfish,H-3:TFWT,0.5,,,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2024/07/09,Olive flounder,H-3:OBT,,,0.4,Bq/L
256,MOE,,37.4391833333,141.0436638889,2024/07/09,Mixed fish sample,H-3:OBT,0.33,,,Bq/L
256,MOE,,37.4391833333,141.0436638889,2024/07/09,Angelfish,H-3:OBT,0.36,,,Bq/L
256,MOE,,37.4391833333,141.0436638889,2024/07/09,Olive flounder,H-3:OBT,,,0.05,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2024/07/09,Mixed fish sample,H-3:OBT,0.051,,,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2024/07/09,Angelfish,H-3:OBT,0.054,,,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2024/02/15,Olive flounder,H-3:TFWT,,,0.06,Bq/L
256,MOE,,37.4391833333,141.0436638889,2024/02/15,Angelfish,H-3:TFWT,0.047,,,Bq/L
256,MOE,,37.4391833333,141.0436638889,2024/02/15,Browneye skate,H-3:TFWT,0.048,,,Bq/L
256,MOE,,37.4391833333,141.0436638889,2024/02/15,Olive flounder,H-3:TFWT,,,0.05,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2024/02/15,Angelfish,H-3:TFWT,0.036,,,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2024/02/15,Browneye skate,H-3:TFWT,0.038,,,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2024/02/15,Olive flounder,H-3:OBT,,,0.4,Bq/L
256,MOE,,37.4391833333,141.0436638889,2024/02/15,Angelfish,H-3:OBT,,,0.3,Bq/L
256,MOE,,37.4391833333,141.0436638889,2024/02/15,Browneye skate,H-3:OBT,,,0.3,Bq/L
256,MOE,,37.4391833333,141.0436638889,2024/02/15,Olive flounder,H-3:OBT,,,0.05,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2024/02/15,Angelfish,H-3:OBT,,,0.05,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2024/02/15,Browneye skate,H-3:OBT,,,0.04,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2023/10/18,Mixed fish sample A,H-3:TFWT,1.1,,,Bq/L
256,MOE,,37.4391833333,141.0436638889,2023/10/18,Mixed fish sample B,H-3:TFWT,1.4,,,Bq/L
256,MOE,,37.4391833333,141.0436638889,2023/10/18,Mixed fish sample A,H-3:TFWT,0.89,,,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2023/10/18,Mixed fish sample B,H-3:TFWT,1.0,,,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2023/10/18,Mixed fish sample A,H-3:OBT,0.43,,,Bq/L
256,MOE,,37.4391833333,141.0436638889,2023/10/18,Mixed fish sample B,H-3:OBT,0.73,,,Bq/L
256,MOE,,37.4391833333,141.0436638889,2023/10/18,Mixed fish sample A,H-3:OBT,0.055,,,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2023/10/18,Mixed fish sample B,H-3:OBT,0.11,,,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2023/09/12,Olive flounder,H-3:TFWT,0.097,,,Bq/L
256,MOE,,37.4391833333,141.0436638889,2023/09/12,Whip stingray,H-3:TFWT,0.088,,,Bq/L
