id,org,station,lat,lon,depth,begperiod,Cs-134,Cs-134_nd,Cs-137,Cs-137_nd,H-3,H-3_nd
1,TEPCO,T-0,37.4233333333,141.0413888889,Surface,2025/10/22 6:58,,0.27,,0.26,,
1,TEPCO,T-0,37.4233333333,141.0413888889,Surface,2025/10/21 7:21,,0.27,,0.31,,
1,TEPCO,T-0,37.4233333333,141.0413888889,Surface,2025/10/20 7:17,,0.35,,0.33,,
1,TEPCO,T-0,37.4233333333,141.0413888889,Surface,2025/10/19 7:29,,0.36,,0.29,,
1,TEPCO,T-0,37.4233333333,141.0413888889,Surface,2025/10/18 6:35,,0.31,,0.28,,
1,TEPCO,T-0,37.4233333333,141.0413888889,Surface,2025/10/17 6:46,,0.25,,0.23,,
1,TEPCO,T-0,37.4233333333,141.0413888889,Surface,2025/10/16 7:09,,0.3,,0.36,,
1,TEPCO,T-0,37.4233333333,141.0413888889,Surface,2025/10/15 7:01,,0.39,,0.3,,
1,TEPCO,T-0,37.4233333333,141.0413888889,Surface,2025/10/14 7:16,,0.3,,0.29,,
1,TEPCO,T-0,37.4233333333,141.0413888889,Surface,2025/10/13 7:24,,0.37,0.32,,,
1,TEPCO,T-0,37.4233333333,141.0413888889,Surface,2025/10/12 7:35,,0.22,,0.29,,
1,TEPCO,T-0,37.4233333333,141.0413888889,Surface,2025/10/11 6:40,,0.32,,0.22,,
1,TEPCO,T-0,37.4233333333,141.0413888889,Surface,2025/10/10 6:51,,0.31,,0.28,,
1,TEPCO,T-0,37.4233333333,141.0413888889,Surface,2025/10/9 6:48,,0.36,,0.32,,
1,TEPCO,T-0,37.4233333333,141.0413888889,Surface,2025/10/8 7:02,,0.31,,0.3,,
1,TEPCO,T-0,37.4233333333,141.0413888889,Surface,2025/10/7 6:53,,0.32,,0.27,,
1,TEPCO,T-0,37.4233333333,141.0413888889,Surface,2025/10/6 7:07,,0.26,,0.27,,0.32
1,TEPCO,T-0,37.4233333333,141.0413888889,Surface,2025/10/5 7:00,,0.32,,0.27,,
1,TEPCO,T-0,37.4233333333,141.0413888889,Surface,2025/10/4 6:44,,0.29,,0.31,,
1,TEPCO,T-0,37.4233333333,141.0413888889,Surface,2025/10/3 7:01,,0.3,,0.29,,
1,TEPCO,T-0,37.4233333333,141.0413888889,Surface,2025/10/2 7:11,,0.32,,0.3,,
1,TEPCO,T-0,37.4233333333,141.0413888889,Surface,2025/10/1 7:07,,0.3,,0.32,,
1,TEPCO,T-0,37.4233333333,141.0413888889,Surface,2025/9/30 6:59,,0.35,0.35,,,
1,TEPCO,T-0,37.4233333333,141.0413888889,Surface,2025/9/29 7:14,0.0032,,0.29,,1.4,
1,TEPCO,T-0,37.4233333333,141.0413888889,Surface,2025/9/28 6:48,,0.37,,0.24,,
1,TEPCO,T-0,37.4233333333,141.0413888889,Surface,2025/9/27 6:45,,0.33,,0.29,,
1,TEPCO,T-0,37.4233333333,141.0413888889,Surface,2025/9/26 7:13,,0.38,,0.29,,
1,TEPCO,T-0,37.4233333333,141.0413888889,Surface,2025/9/25 6:59,,0.35,,0.38,,
1,TEPCO,T-0,37.4233333333,141.0413888889,Surface,2025/9/24 6:52,,0.27,,0.28,,
1,TEPCO,T-0,37.4233333333,141.0413888889,Surface,2025/9/23 6:53,,0.34,,0.24,,
