id,org,lat,lon,begperiod,Sample,Radionuclide,Dt,ND,Unit
359,TEPCO,37.4230861111,141.0358111111,2025/7/10,Gulf weed,Cs-134,,0.27,Bq/kg-fresh
359,TEPCO,37.4230861111,141.0358111111,2025/7/10,Gulf weed,Cs-137,5.4,,Bq/kg-fresh
359,TEPCO,37.4230861111,141.0358111111,2025/5/14,Gulf weed,Cs-134,,0.27,Bq/kg-fresh
359,TEPCO,37.4230861111,141.0358111111,2025/5/14,Gulf weed,Cs-137,6.3,,Bq/kg-fresh
359,TEPCO,37.4230861111,141.0358111111,2025/3/20,Gulf weed,Cs-134,,0.25,Bq/kg-fresh
359,TEPCO,37.4230861111,141.0358111111,2025/3/20,Gulf weed,Cs-137,5.6,,Bq/kg-fresh
359,TEPCO,37.4230861111,141.0358111111,2024/7/25,Gulf weed,Cs-134,,0.28,Bq/kg-fresh
359,TEPCO,37.4230861111,141.0358111111,2024/7/25,Gulf weed,Cs-137,6.6,,Bq/kg-fresh
359,TEPCO,37.4230861111,141.0358111111,2024/5/23,Gulf weed,Cs-134,,0.23,Bq/kg-fresh
359,TEPCO,37.4230861111,141.0358111111,2024/5/23,Gulf weed,Cs-137,1.6,,Bq/kg-fresh
359,TEPCO,37.4230861111,141.0358111111,2024/3/14,Gulf weed,Cs-134,,0.33,Bq/kg-fresh
359,TEPCO,37.4230861111,141.0358111111,2024/3/14,Gulf weed,Cs-137,13.0,,Bq/kg-fresh
359,TEPCO,37.4230861111,141.0358111111,2023/7/4,Gulf weed,Cs-134,,0.24,Bq/kg-fresh
359,TEPCO,37.4230861111,141.0358111111,2023/7/4,Gulf weed,Cs-137,7.7,,Bq/kg-fresh
359,TEPCO,37.4230861111,141.0358111111,2023/5/19,Gulf weed,Cs-134,,0.19,Bq/kg-fresh
359,TEPCO,37.4230861111,141.0358111111,2023/5/19,Gulf weed,Cs-137,2.1,,Bq/kg-fresh
359,TEPCO,37.4230861111,141.0358111111,2023/4/21,Gulf weed,Cs-134,,0.21,Bq/kg-fresh
359,TEPCO,37.4230861111,141.0358111111,2023/4/21,Gulf weed,Cs-137,0.89,,Bq/kg-fresh
359,TEPCO,37.4230861111,141.0358111111,2023/3/24,Gulf weed,Cs-134,,0.2,Bq/kg-fresh
359,TEPCO,37.4230861111,141.0358111111,2023/3/24,Gulf weed,Cs-137,1.8,,Bq/kg-fresh
359,TEPCO,37.4230861111,141.0358111111,2022/8/18,Gulf weed,Cs-134,,0.17,Bq/kg-fresh
359,TEPCO,37.4230861111,141.0358111111,2022/8/18,Gulf weed,Cs-137,2.4,,Bq/kg-fresh
359,TEPCO,37.4230861111,141.0358111111,2022/7/13,Gulf weed,Cs-134,0.13,,Bq/kg-fresh
359,TEPCO,37.4230861111,141.0358111111,2022/7/13,Gulf weed,Cs-137,4.4,,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2025/7/11,Narrow iodine seaweed,Cs-134,,0.21,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2025/7/11,Narrow iodine seaweed,Cs-137,0.24,,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2025/7/11,Narrow iodine seaweed,H-3:TFWT,0.091,,Bq/L
360,TEPCO,37.4821027778,141.0434888889,2025/7/11,Narrow iodine seaweed,H-3:TFWT,0.074,,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2025/7/11,Narrow iodine seaweed,H-3:OBT,,0.25,Bq/L
360,TEPCO,37.4821027778,141.0434888889,2025/7/11,Narrow iodine seaweed,H-3:OBT,,0.018,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2025/7/11,Narrow iodine seaweed,I-129,,0.02,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2025/5/15,Sea oak,Cs-134,,0.14,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2025/5/15,Sea oak,Cs-137,0.97,,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2025/5/15,Sea oak,H-3:TFWT,,0.083,Bq/L
360,TEPCO,37.4821027778,141.0434888889,2025/5/15,Sea oak,H-3:TFWT,,0.071,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2025/5/15,Sea oak,H-3:OBT,,0.3,Bq/L
360,TEPCO,37.4821027778,141.0434888889,2025/5/15,Sea oak,H-3:OBT,,0.017,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2025/5/15,Sea oak,I-129,,0.06,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2025/3/18,Narrow iodine seaweed,Cs-134,,0.23,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2025/3/18,Narrow iodine seaweed,Cs-137,0.32,,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2025/3/18,Narrow iodine seaweed,H-3:TFWT,0.16,,Bq/L
360,TEPCO,37.4821027778,141.0434888889,2025/3/18,Narrow iodine seaweed,H-3:TFWT,0.13,,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2025/3/18,Narrow iodine seaweed,H-3:OBT,,0.25,Bq/L
360,TEPCO,37.4821027778,141.0434888889,2025/3/18,Narrow iodine seaweed,H-3:OBT,,0.015,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2025/3/18,Narrow iodine seaweed,I-129,,0.01,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2024/7/23,Ahnfeltiopsis paradoxa (Suringar) Masuda,Cs-134,,0.15,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2024/7/23,Ahnfeltiopsis paradoxa (Suringar) Masuda,Cs-137,8.6,,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2024/7/23,Ahnfeltiopsis paradoxa (Suringar) Masuda,H-3:TFWT,0.1,,Bq/L
360,TEPCO,37.4821027778,141.0434888889,2024/7/23,Ahnfeltiopsis paradoxa (Suringar) Masuda,H-3:TFWT,0.09,,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2024/7/23,Ahnfeltiopsis paradoxa (Suringar) Masuda,H-3:OBT,,0.32,Bq/L
360,TEPCO,37.4821027778,141.0434888889,2024/7/23,Ahnfeltiopsis paradoxa (Suringar) Masuda,H-3:OBT,,0.011,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2024/7/23,Ahnfeltiopsis paradoxa (Suringar) Masuda,I-129,,0.01,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2024/5/28,Sargassum yamadae,Cs-134,,0.34,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2024/5/28,Sargassum yamadae,Cs-137,7.5,,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2024/5/28,Sargassum yamadae,H-3:TFWT,0.21,,Bq/L
360,TEPCO,37.4821027778,141.0434888889,2024/5/28,Sargassum yamadae,H-3:TFWT,0.18,,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2024/5/28,Sargassum yamadae,H-3:OBT,,0.3,Bq/L
360,TEPCO,37.4821027778,141.0434888889,2024/5/28,Sargassum yamadae,H-3:OBT,,0.013,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2024/5/28,Sargassum yamadae,I-129,,0.01,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2024/3/12,Narrow iodine seaweed,Cs-134,,0.35,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2024/3/12,Narrow iodine seaweed,Cs-137,0.48,,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2024/3/12,Narrow iodine seaweed,H-3:TFWT,0.2,,Bq/L
360,TEPCO,37.4821027778,141.0434888889,2024/3/12,Narrow iodine seaweed,H-3:TFWT,0.17,,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2024/3/12,Narrow iodine seaweed,H-3:OBT,,0.26,Bq/L
360,TEPCO,37.4821027778,141.0434888889,2024/3/12,Narrow iodine seaweed,H-3:OBT,,0.019,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2024/3/12,Narrow iodine seaweed,I-129,,0.1,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2023/7/5,Kelp,Cs-134,,0.19,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2023/7/5,Kelp,Cs-137,0.5,,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2023/7/5,Kelp,H-3:TFWT,0.078,,Bq/L
360,TEPCO,37.4821027778,141.0434888889,2023/7/5,Kelp,H-3:TFWT,0.063,,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2023/7/5,Kelp,H-3:OBT,,0.27,Bq/L
360,TEPCO,37.4821027778,141.0434888889,2023/7/5,Kelp,H-3:OBT,,0.026,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2023/7/5,Kelp,I-129,,0.1,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2023/5/22,Kelp,Cs-134,,0.24,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2023/5/22,Kelp,Cs-137,0.62,,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2023/5/22,Kelp,H-3:TFWT,0.055,,Bq/L
360,TEPCO,37.4821027778,141.0434888889,2023/5/22,Kelp,H-3:TFWT,0.046,,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2023/5/22,Kelp,H-3:OBT,,0.24,Bq/L
360,TEPCO,37.4821027778,141.0434888889,2023/5/22,Kelp,H-3:OBT,,0.018,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2023/5/22,Kelp,I-129,,0.1,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2023/4/24,Kelp,Cs-134,,0.21,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2023/4/24,Kelp,Cs-137,0.95,,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2023/4/24,Kelp,H-3:TFWT,0.068,,Bq/L
360,TEPCO,37.4821027778,141.0434888889,2023/4/24,Kelp,H-3:TFWT,0.056,,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2023/4/24,Kelp,H-3:OBT,,0.22,Bq/L
360,TEPCO,37.4821027778,141.0434888889,2023/4/24,Kelp,H-3:OBT,,0.017,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2023/4/24,Kelp,I-129,,0.1,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2023/3/24,Kelp,Cs-134,,0.18,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2023/3/24,Kelp,Cs-137,0.58,,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2023/3/24,Kelp,H-3:TFWT,0.086,,Bq/L
360,TEPCO,37.4821027778,141.0434888889,2023/3/24,Kelp,H-3:TFWT,0.073,,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2023/3/24,Kelp,H-3:OBT,,0.21,Bq/L
360,TEPCO,37.4821027778,141.0434888889,2023/3/24,Kelp,H-3:OBT,,0.014,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2023/3/24,Kelp,I-129,,0.1,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2022/8/19,Kelp,Cs-134,,0.14,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2022/8/19,Kelp,Cs-137,0.65,,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2022/8/19,Kelp,I-129,,0.1,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2022/7/14,Kelp,Cs-134,,0.14,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2022/7/14,Kelp,Cs-137,0.57,,Bq/kg-fresh
360,TEPCO,37.4821027778,141.0434888889,2022/7/14,Kelp,I-129,,0.1,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2025/7/11,Gulf weed,Cs-134,,0.24,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2025/7/11,Gulf weed,Cs-137,2.8,,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2025/7/11,Gulf weed,H-3:TFWT,0.12,,Bq/L
361,TEPCO,37.337175,141.0286083333,2025/7/11,Gulf weed,H-3:TFWT,0.099,,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2025/7/11,Gulf weed,H-3:OBT,,0.25,Bq/L
361,TEPCO,37.337175,141.0286083333,2025/7/11,Gulf weed,H-3:OBT,,0.014,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2025/7/11,Gulf weed,I-129,,0.03,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2025/5/15,Gulf weed,Cs-134,,0.18,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2025/5/15,Gulf weed,Cs-137,0.46,,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2025/5/15,Gulf weed,H-3:TFWT,,0.082,Bq/L
361,TEPCO,37.337175,141.0286083333,2025/5/15,Gulf weed,H-3:TFWT,,0.07,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2025/5/15,Gulf weed,H-3:OBT,,0.31,Bq/L
361,TEPCO,37.337175,141.0286083333,2025/5/15,Gulf weed,H-3:OBT,,0.018,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2025/5/15,Gulf weed,I-129,,0.02,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2025/3/18,Ulva australis,Cs-134,,0.22,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2025/3/18,Ulva australis,Cs-137,2.9,,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2025/3/18,Ulva australis,H-3:TFWT,0.8,,Bq/L
361,TEPCO,37.337175,141.0286083333,2025/3/18,Ulva australis,H-3:TFWT,0.67,,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2025/3/18,Ulva australis,H-3:OBT,,0.26,Bq/L
361,TEPCO,37.337175,141.0286083333,2025/3/18,Ulva australis,H-3:OBT,,0.013,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2025/3/18,Ulva australis,I-129,,0.01,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2024/7/18,Ulva australis,Cs-134,,0.18,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2024/7/18,Ulva australis,Cs-137,0.66,,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2024/7/18,Ulva australis,H-3:TFWT,0.37,,Bq/L
361,TEPCO,37.337175,141.0286083333,2024/7/18,Ulva australis,H-3:TFWT,0.31,,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2024/7/18,Ulva australis,H-3:OBT,,0.32,Bq/L
361,TEPCO,37.337175,141.0286083333,2024/7/18,Ulva australis,H-3:OBT,,0.015,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2024/7/18,Ulva australis,I-129,,0.01,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2024/5/28,Ulva australis,Cs-134,,0.25,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2024/5/28,Ulva australis,Cs-137,12.0,,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2024/5/28,Ulva australis,H-3:TFWT,0.13,,Bq/L
361,TEPCO,37.337175,141.0286083333,2024/5/28,Ulva australis,H-3:TFWT,0.11,,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2024/5/28,Ulva australis,H-3:OBT,,0.24,Bq/L
361,TEPCO,37.337175,141.0286083333,2024/5/28,Ulva australis,H-3:OBT,,0.018,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2024/5/28,Ulva australis,I-129,,0.01,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2024/3/12,Sea oak,Cs-134,,0.3,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2024/3/12,Sea oak,Cs-137,0.61,,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2024/3/12,Sea oak,H-3:TFWT,0.22,,Bq/L
361,TEPCO,37.337175,141.0286083333,2024/3/12,Sea oak,H-3:TFWT,0.19,,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2024/3/12,Sea oak,H-3:OBT,,0.26,Bq/L
361,TEPCO,37.337175,141.0286083333,2024/3/12,Sea oak,H-3:OBT,,0.015,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2024/3/12,Sea oak,I-129,,0.1,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2023/7/5,Gulf weed,Cs-134,,0.27,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2023/7/5,Gulf weed,Cs-137,12.0,,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2023/7/5,Gulf weed,H-3:TFWT,0.092,,Bq/L
361,TEPCO,37.337175,141.0286083333,2023/7/5,Gulf weed,H-3:TFWT,0.079,,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2023/7/5,Gulf weed,H-3:OBT,,0.27,Bq/L
361,TEPCO,37.337175,141.0286083333,2023/7/5,Gulf weed,H-3:OBT,,0.017,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2023/7/5,Gulf weed,I-129,,0.1,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2023/5/22,Kelp,Cs-134,,0.28,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2023/5/22,Kelp,Cs-137,0.5,,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2023/5/22,Kelp,H-3:TFWT,0.1,,Bq/L
361,TEPCO,37.337175,141.0286083333,2023/5/22,Kelp,H-3:TFWT,0.083,,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2023/5/22,Kelp,H-3:OBT,,0.23,Bq/L
361,TEPCO,37.337175,141.0286083333,2023/5/22,Kelp,H-3:OBT,,0.019,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2023/5/22,Kelp,I-129,,0.1,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2023/4/24,Kelp,Cs-134,,0.29,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2023/4/24,Kelp,Cs-137,1.1,,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2023/4/24,Kelp,H-3:TFWT,0.077,,Bq/L
361,TEPCO,37.337175,141.0286083333,2023/4/24,Kelp,H-3:TFWT,0.063,,Bq/kg-fresh
361,TEPCO,37.337175,141.0286083333,2023/4/24,Kelp,H-3:OBT,,0.23,Bq/L
